policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211000001,ITA,Sporadic,"""All inclusive"" Feed-in Tariff for small renewable energy power plants Italy (2008)","""All inclusive"" Feed-in Tariff for small renewable energy power plants",Country,,Italy,,,"Feed-in tariffs or premiums, Green certificates","Electricity and heat, Renewables","The Decree of 11 April 2008 lays down the criteria to stimulate the production of electricity from solar thermodynamic plants, including the hybrid ones, connected to the electricity grid, built in Italy. Plants must be equipped with thermal accumulation systems. On top of the selling price, net electricity produced by thermodynamic solar plants commissioned after 18 July 2008 can obtain a feed-in premium for 25 years. Up to 2012 the bonus varies from EUR 0.22 to EUR 0.28 / kWh depending on the level of integration of the plants. In case of hybrid plants, the feed-in tariff decreases depending on the ratio between the amount of energy not produced by a solar energy source and the amount produced by a solar energy source. The maximum cumulative power of all solar thermodynamic plants eligible for the incentives corresponds to 1.5 million m2 of cumulative surface. The national objective of total power to be installed by 2016 corresponds to 2 million m2 of cumulative surface. For the 2013-2014 period such bonus values will be reduced by 2% a year; from 2014 onward special Ministerial Decree will define further cuts.
IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,Superseded,2008,,,Unknown,Mitigation,https://www.iea.org/policies/4673-feed-in-tariff-for-solar-thermodynamic-energy?q=Italy,,,,,,
211000002,DEU,Annual,"""Energy of the Future"" monitoring process Germany (2011)","""Energy of the Future"" monitoring process",Country,,Germany,,,"Policy support, Institutional creation, Strategic planning",General,"At the heart of the monitoring process for the energy transition is the Monitoring Report, which is published on an annual basis. The purpose of this report is to condense the reams of statistical information on energy that have been collected into a smaller, more manageable number of selected indicators. This information provides a fact-based overview of the current status of progress with regard to implementation of the energy reforms. The main source of this data is official energy statistics.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",,"In force",2011,,,Unknown,Mitigation,https://www.bmwi.de/Redaktion/EN/Artikel/Energy/monitoring-implementation-of-the-energy-reforms.html,,,,,,
211000003,DEU,Annual,"""Energy-efficient Systems in Trade and Industry” campaign Germany (2004)","""Energy-efficient Systems in Trade and Industry” campaign",Country,,Germany,,,"Information and education","Industry, Buildings, Appliances",,"Energy efficiency",,Ended,2004,,2007,Unknown,Mitigation,http://www.stromeffizienz.de/,,,,,,
211000004,FRA,Sporadic,"""Investment for the Future"" Programme France (2014)","""Investment for the Future"" Programme",Country,,France,,,"Infrastructure investments","Transport, Low-emissions mobility","As part of the ""Investment for the Future” programme, ADEME (Agence de l'Environnement et de la Maîtrise de l'Énergie - Environment and Energy Management Agency) supports electromobility through a fund dedicated to local authorities willing to deploy charging infrastructure for Plug-in vehicles. The programme was ended in December 2015. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Other low-carbon technologies and fuel switch",1,Ended,2014,,,Unknown,Mitigation,https://www.iea.org/policies/3115-investment-for-the-future-infrastructure?country=France&qs=fra,,,,,,
211000005,KOR,Annual,"""Kids ISO 14000 Program"" for Energy Conservation and GHG Reduction Republic of Korea (2005)","""Kids ISO 14000 Program"" for Energy Conservation and GHG Reduction",Country,,"Republic of Korea",,,"Information provision","Electricity and heat, Buildings, Hot water and cooking, Appliances",,"Energy efficiency",,"In force",2005,,,Unknown,Mitigation,http://www.iso.org/iso/en/kidsiso14000/index.html,,,,,,
211000006,FRA,Sporadic,"""MaPrimeRénov"" Programme France (2020)","""MaPrimeRénov"" Programme",Country,,France,,,"Grants and subsidies",Buildings,"This programme aims at helping low-income individuals and households to renovate their housings in order to make them more energy efficient and better isolated. The subsidy has an upper limit of 20,000€ per flat/house on a 5 year period. People who do not qualify for this scheme can apply for the Energy Transition Tax Credit (CITE): http://climatepolicydatabase.org/index.php/The_Energy_Transition_Tax_Credit_(CITE)","Energy efficiency",1,"In force",2020,,,Unknown,Mitigation,https://www.service-public.fr/particuliers/actualites/A13767,,,,,,
211000007,ITA,Sporadic,"Feed-In Premium for photovoltaic systems (I-II-III-IV Conto Energia) Italy (2005)","Feed-In Premium for photovoltaic systems (I-II-III-IV Conto Energia)",Country,,Italy,,,"Feed-in tariffs or premiums","Electricity and heat, Renewables","The Energy Account was introduced in Italy with The Community Directive 2001/77/EC and then transposed with the approval of Legislative Decree 387 of 2003. This mechanism became operational with the entry into force of the Interministerial Decrees of 28/07/2005 and 06/02/2006 (I° Conto Energia)which introduced thesystem of financing for the operation of electricity production.
D.M. 19/02/2007 (II° Conto Energia)introduced some innovations such as the application of the incentive tariff on all the energy produced by the plant, the simplification of the rules on access to incentivetariffs and the differentiation of tariffs also according to the type of architectural integration and the size of the plant.
There is also a premium for photovoltaic systems combined with the efficient use of energy.
In 2010, with D.M. 06/08/2010, the THIRD Energy Account came into force,applicable to plantsthat came into operation from 1 January 2011 until 31 May 2011, which introduced specific tariffs for integrated photovoltaic systems with innovative characteristics and concentrated photovoltaic systems.
With Law No. 129/2010 (so-called ""Lawsaves Alcoa"") the 2010 tariffs of the Second Energy Account were then confirmed to all plants able to certify thecompletion of the works by December 31, 2010 and to enter into operation by June 30, 2011.
After the enactment of the Legislative Decree. 28/2011, D.M. 05/05/2011 (IV° Conto Energia)was published, which defined the incentive mechanism for plantsthat entered into operation after 31 May 2011 with the aim of aligning the level of tariffs with the evolution of the costs of photovoltaic technology and introducing an annual cumulative cost limit of incentives, set at 6 billion euros.",Renewables,,Superseded,2005,,,Unknown,Mitigation,https://www.gse.it/servizi-per-te/fotovoltaico/conto-energia,,,,,,
211000008,AUS,Annual,"10 Star NatHERS Rating for Buildings Australia (2015)","10 Star NatHERS Rating for Buildings",Country,,Australia,,,"Building codes and standards","Buildings, Construction","Star classification for MJ/m2 based on calculated energy demand. Stars range from 0-10 stars.
the policy is an update over the 6 Star NatHERS Rating for Buildings (2010).","Energy efficiency",,"In force",2015,,,Unknown,Mitigation,http://www.nathers.gov.au/news/updated-nathers-strategic-plan-2015-2018,,,,,,
211000009,GBR,Annual,"10 Year Transport Plan United Kingdom (2000)","10 Year Transport Plan",Country,,"United Kingdom",,,"Strategic planning, Direct investment",Transport,"The Act contains measures to create a more integrated transport system and provide for a public-private partnership for National Air Traffic Services Ltd (“NATS”). The Act aims to improve local passenger transport services, and reduce road congestion and pollution. The use of railways will be promoted through the Strategic Rail Authority.","Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch",,Superseded,2000,,,Unknown,Mitigation,https://uk-air.defra.gov.uk/assets/documents/reports/empire/transport/tp10y.pdf,,,,,,
211000010,AUS,Annual,"10-year Strategy for Fuel Switching to Natural Gas Australia (2006)","10-year Strategy for Fuel Switching to Natural Gas",Country,,Australia,,,"Negotiated agreements (public-private sector), Policy support, Regulatory Instruments, Strategic planning","Electricity and heat, Gas",,"Other low-carbon technologies and fuel switch",,Ended,2006,,2016,Unknown,Mitigation,,,,,,,
211000011,DEU,Annual,"100 000 Roofs Solar Power Programme Germany (1999)","100 000 Roofs Solar Power Programme",Country,,Germany,,,"Loans, Fiscal or financial incentives","Electricity and heat, Renewables",,Renewables,,Superseded,1999,,,Unknown,Mitigation,http://www.kfw.de,,,,,,
211000012,DEU,Annual,"100 Million Programme Germany (1995)","100 Million Programme",Country,,Germany,,,"Fiscal or financial incentives, Grants and subsidies, Advice or aid in implementation, Information provision","Electricity and heat, Renewables",,Renewables,,Ended,1995,,1998,Unknown,Mitigation,https://www.iea.org/policies/3859-100-million-programme?country=Germany&page=6&qs=germany&year=desc,,,,,,
211000013,IND,Annual,"100 Smart Cities Mission India (2015)","100 Smart Cities Mission",Country,,India,,,"Funds to sub-national governments, Strategic planning",Buildings,,"Energy service demand reduction and resource efficiency",,"In force",2015,,,Unknown,Mitigation,https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;page=3&amp;qs=india,,,,,,
211000014,SAU,Annual,"10th Development Plan Saudi Arabia (2014)","10th Development Plan",Country,,"Saudi Arabia",,,"Strategic planning",General,"""Key drivers adopted in the 10th plan are as follows:
- Introduce new programs and projects to increase value added of oil and gas resources in all production activities, and promote industries using these resources.
- Increase real value added of non-oil sectors annually by an average of 8.5% of GDP (at constant prices of 2010) and its share from 59.1% in 2014 to 66% in 2019.
- Growing the share of private sector in the GDP (at constant prices of 2010) from 44.9% in 2014, to 50.6% in 2019.
- Increasing the annual growth rate of the manufacturing industries sector from 8.36%in 2014 to 10.58% in 2019, and the Mining and Quarrying sector from 5.98% in 2014 to 8.56% in 2019.
- Increase in public investment is planned for the coming five years, about 2.4 trillion Riyal to finance development projects of the major sectors, including human resources, economic resources, social and health, and infrastructure. The 10th development Plan allocates 372 billion Riyals for spending on infrastructure, which is about 76% more than what was allocated in the 9th Plan. This will be accompanied by new measures for the rationalization of government spending."" (http://g20.org.tr/wp-content/uploads/2014/12/g20_comprehensive_growth_strategy_saudi_arabia.pdf)
""As a first step towards greater diversification, the plan envisages raising utilisation rates of mineral resources, diversifying sector activities and developing local processing of mining raw materials. In terms of petrochemicals, this will involve developing upstream and downstream industrial activities that depend on oil and gas. Production capacity in the industrial sector will also be expanded in line with the National Industrial Strategy, with an emphasis on projects related to the diversification of energy sources away from oil. The plan aims to increase the contribution of the services sector to GDP, with an emphasis on financial, tourism, transport, engineering, communications and IT services, according to the Ministry of Economy and Planning (MEP)."" (http://www.oxfordbusinessgroup.com/analysis/long-game-new-development-plan-shows-clear-commitment-education-and-private-sector)","Energy service demand reduction and resource efficiency",,"In force",2014,2015,,unclear,"Economic development",http://g20.org.tr/wp-content/uploads/2014/12/g20_comprehensive_growth_strategy_saudi_arabia.pdf,,,,,,
