Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Fuel Security Act 2021,2021,AUSTRALIA,"The Fuel Security Act 2021 to make arrangements in relation to fuel security, and for related purposes.",https://policy.asiapacificenergy.org/node/4412,National,Act,Energy,"Coal, Oil, Gas",APEP
Government Decree No. 650 of 2014 on State Agency for Regulation of the Fuel and Energy Complex under the Government of the Kyrgyz Republic (2021 Ed.),2021,KYRGYZSTAN,"The Government Decree No. 650 of 2014 (2021 Ed.) on State Agency for Regulation of the Fuel and Energy Complex under the Government of the Kyrgyz Republic (2017 Ed.) establishes the State Agency for Regulation of the Fuel and Energy Complex (SARFEC) under the Government of the Kyrgyz Republic on the basis of the State Department for Regulation of the Fuel and Energy Complex under the Ministry of Energy and Industry of the Kyrgyz Republic in order to separate the functions of forming policy, developing the fuel and energy complex, ensuring the independence of the sectoral regulatory body.",https://policy.asiapacificenergy.org/node/4210,National,Decree,Energy,"All, Coal, Oil, Gas",APEP
Electrical Products (Safety) Regulation (2021 Ed.),2021,"HONG KONG, CHINA",The Electrical Products (Safety) Regulation (2021 Ed.) determines: safety requirements for electrical products (designed for household use) supplied in Hong Kong (Part II); requirements for obtaining a certificate of safety compliance (Part III); the recognised certification bodies and recognized manufacturers (Part IV); Director's powers (Part V); offences and penalties (Part VI).,https://policy.asiapacificenergy.org/node/4158,National,Rule/Regulation,Power,Power,APEP
Electricity (Registration) Regulations (Cap. 406D) (2021 Ed.),2021,"HONG KONG, CHINA","The Electricity (Registration) Regulations (Cap. 406D) (2021 Ed.) determine: the rules of registration of contractors (Part II); grades of electrical work and qualifications of workers (Part III); the rules of application for registration, registration, term and renewal (Part IV); rules of generating facility registration (Part V); transitional registration periods (Part VI); and fees for application for registration (Schedule).",https://policy.asiapacificenergy.org/node/4157,National,Rule/Regulation,Power,Power,APEP
Gas Safety (Gas Quality) Regulations (2021 Ed.),2021,"HONG KONG, CHINA","The Gas Safety (Gas Quality) Regulations (2021 Ed.) determines standards of gas safety supply, including standard of pressure, standard of purity and distinctive smell. It also determines liability for violation of these regulations.",https://policy.asiapacificenergy.org/node/4148,National,Rule/Regulation,Energy,Gas,APEP
Climate Change Act 2021,2021,FIJI,"The Climate Change Act 2021 aims to establish a comprehensive response to climate change, to provide for the regulation and governance of the national response to climate change, to introduce a system for the measurement, reporting and verification of greenhouse gas emissions and for related matters.",https://policy.asiapacificenergy.org/node/4133,National,Act,"Multi-Sector, Other",Other,APEP
Electricity Industry Act 2010 (2021 Ed.),2021,NEW ZEALAND,"An Act (a) To make better provision for the regulation of the supply of electricity and the electricity industry in New Zealand; and (b) To consolidate and amend the law relating to the regulation and control of electrical workers; (c) To provide for matters incidental thereto; and (d) To repeal the Electric Linemen Act 1959, the Electricity Act 1968, and the Electrical Registration Act 1979.",https://policy.asiapacificenergy.org/node/3137,National,Act,Power,Power,APEP
Climate Change Response Act 2002 (2021 Ed.),2021,NEW ZEALAND,"The purpose of this Act is to enable New Zealand to meet its international obligations under the Convention and the Protocol, to provide for the implementation, operation, and administration of a greenhouse gas emissions trading scheme in New Zealand that supports and encourages global efforts to reduce the emission of greenhouse gases and to provide for the imposition, operation, and administration of a levy on specified synthetic greenhouse gases contained in motor vehicles and also another levy on other goods to support and encourage global efforts to reduce the emission of those gases.",https://policy.asiapacificenergy.org/node/3103,National,Act,"Energy, Power, Industry, Transport, Multi-Sector, Other","All, Power, Other",APEP
Energy Efficiency (Energy Using Products) Regulations 2002 (2021 Ed.),2021,NEW ZEALAND,These Regulations provide for details around energy efficiency standards and energy labelling requirements. Two schedules (Schedule 1 and Schedule 2) define a list of product classes subject to mandatory labelling and standards.,https://policy.asiapacificenergy.org/node/3089,National,Rule/Regulation,Power,"Power, Other",APEP
Fuel Quality Standards Act 2000 (2021 Ed.),2021,AUSTRALIA,"The Fuel Quality Standards Act 2000 (the Act) provides the legislative basis for national fuel quality and fuel quality information standards for Australia. The Act is in place to: regulate the quality of fuel supplied in Australia with the objective to reduce the level of pollutants and emissions arising from the use of fuel that may cause environmental and health problems; facilitate the adoption of better engine technology and emission control technology; and allow the more effective operation of engines; and ensure that, where appropriate, information about fuel is provided when the fuel is supplied. The standards regulate the supply of fuel to consumers and reduce toxic vehicle emissions. Modern vehicles require fuels that meet higher quality standards. Where a State or Territory has fuel quality standards in place, the Commonwealth standards operate concurrently. State or Territory standards apply where they regulate a fuel characteristic not covered by the Commonwealth standards.",https://policy.asiapacificenergy.org/node/3074,National,Act,"Power, Industry, Transport",Oil,APEP
