Policy,Country,Year,Status,Jurisdiction,policy_url,Topics,Type,Sectors,Technologies,LearnMore,Policy_Content,Source
Climate Law 2023,Israel,2030,Announced,National,https://www.iea.org/policies/17194-climate-law-2023,,,,,https://www.gov.il/he/Departments/news/minister_silman_climate_law_to_ministries_comments,"Following up on the 2022 first draft of Israel’s historic Climate Law, the Ministry of Environmental Protection presented in February 2023 a new text to reach carbon neutrality by 2050. The new bill anchors reduction targets for 2030 and states that the annual amount of greenhouse gas emissions in 2030 will be reduced by 50% compared to 2015 (reference year).",IEA
Expansion of nuclear capacities,Hungary,2030,Announced,National,https://www.iea.org/policies/27298-expansion-of-nuclear-capacities,Power,Government spending in low-carbon electricity,,,https://njt.hu/jogszabaly/2022-56-30-41,"In line with the National Energy Strategy, two new 1200 MW units will be added to the Paks Nuclear Power Plant. The new blocks could enter the system around 2030.",IEA
Diversification and strengthening of electrical interconnections,Italy,2028,Announced,National,https://www.iea.org/policies/27041-diversification-and-strengthening-of-electrical-interconnections,,,,,https://www.terna.it/it,"'Adriatic link: CC connection between Abruzzo and Marche was authorized by decree of January 31, 2024, scheduled for operation in 2028. Adriatic backbone (Foggia – Villanova power line) is in the authorization phase with operation scheduled for 2028-30. Montecorvino – Avellino Nord – Benevento power line in the planning phase with operation scheduled for 2028/29. Reorganization of the northern Calabria network in the planning phase with operation scheduled for 2030. Aliano – Montecorvino electrode planned with operation scheduled for 2032. Northern Benevento area power line planned with operation scheduled for 2035.",IEA
GX: Green Transformation Policy: Carbon Levy,Japan,2028,In force,National,https://www.iea.org/policies/19962-gx-green-transformation-policy-carbon-levy,Power;Buildings;Transport,Carbon pricing instruments,,,https://www.meti.go.jp/press/2022/02/20230210002/20230210002_1.pdf,"Through its GX (Green Transformation) Basic Policy, Japan aims to introduce a carbon levy on fossil fuel imports on power, gas and oil companies.The introduction of this levy will start in 2028, along with a mandatory national ETS.",IEA
Low-Carbon Hydrogen Development Program (PHBC),Brazil,2028,In force,National,https://www.iea.org/policies/26537-low-carbon-hydrogen-development-program-phbc,Fuels,Government spending in hydrogen,,,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/L14990.htm,"The law aims to promote the use of low-carbon hydrogen in industry and heavy transport, with a capped budget of BRL 18.3 billion for 2028-2032.",IEA
2025-2027 Medium Term Plan - Turkish Emission Trading System (TR ETS),Republic of Turkiye,2027,In force,National,https://www.iea.org/policies/26543-2025-2027-medium-term-plan-turkish-emission-trading-system-tr-ets,Power;Industry,Carbon pricing instruments,,,https://ms.hmb.gov.tr/uploads/sites/2/2024/10/Medium_Term_Program_2025-2027.pdf,"The Plan has explicit references to the creation of an Turkish Emission Trading System (TR ETS), expected to launch as pilot in 2026 and full compliance in 2027.",IEA
CAFE III and CAFE IV CO2 standards for light-duty vehicles from 2027 to 2032,India,2027,Announced,National,https://www.iea.org/policies/26565-cafe-iii-and-cafe-iv-co2-standards-for-light-duty-vehicles-from-2027-to-2032,Transport,Fuel efficiency standards,,,https://beeindia.gov.in/sites/default/files/2024-06/Inviting%20Comments%20on%20Proposal%20of%20Future%20CAFE%20-%20III%20and%20IV.pdf,"As of April 2025, the Indian Government is currently drafting new CO2 emissions standards for cars, CAFE III (2027-2032) and CAFE IV (2033-2037), which have proposed WLTP CO2 emission targets of 91.7 g/km and 70 g/km, respectively. This standard will be implemented with a super-credit mechanism making it easier for OEMs to reach compliance through electric car sales rather than through conventional ones.",IEA
Directive (EU) 2023/959 establishing a system for greenhouse gas emission allowance trading within the Union,Multilateral (27 countries),2027,In force,National,https://www.iea.org/policies/21250-directive-eu-2023959-establishing-a-system-for-greenhouse-gas-emission-allowance-trading-within-the-union,Buildings;Transport,Carbon pricing instruments,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2023.130.01.0134.01.ENG,"This directive creates a new emissions trading system (ETS2) to cover CO2 emissions from fuel combustion in buildings, road transport and small industries not covered by the EU ETS. The ETS2 is expected to be fully operational in 2027, with monitoring and reporting to begin in 2025. The ETS2 cap will be set to bring emissions down by 42% by 2030 compared to 2005 levels.",IEA
Greenhouse Gas Emissions Standards for Heavy-Duty Engines and Vehicles-Phase 3,United States,2027,In force,National,https://www.iea.org/policies/20494-greenhouse-gas-emissions-standards-for-heavy-duty-engines-and-vehicles-phase-3,Transport,Fuel efficiency standards,,,https://www.epa.gov/regulations-emissions-vehicles-and-engines/final-rule-greenhouse-gas-emissions-standards-heavy-duty,"The US Environmental Protection Agency (EPA) finalised in 2024 greenhouse gas standards for heavy-duty vehicles for model years 2027 through 2032.Vehicle and engine performance standards cover semi-trucks, large pickup trucks, vans, and all types and sizes of buses and work trucks, and see a reduction from phase 2 of 40% and 30% for medium-duty vehicles and heavy-duty vehicles respectively by 2032.",IEA
Multi-Pollutant Emissions Standards for Model Years 2027 and Later LightDuty and Medium-Duty Vehicles,United States,2027,In force,National,https://www.iea.org/policies/19964-multi-pollutant-emissions-standards-for-model-years-2027-and-later-lightduty-and-medium-duty-vehicles,Transport,Fuel efficiency standards,,,https://www.epa.gov/regulations-emissions-vehicles-and-engines/final-rule-multi-pollutant-emissions-standards-model,"The Environment Protection Agency (EPA) published revised fuel economy standards for model years 2027 onwards, with projected reductions in CO2 emissions of 50% for LDVs and 40% for MDVs in 2032 compared to 2027.",IEA
Detailed Procedure for Compliance Mechanism under the Carbon Credit Trading Scheme (CCTS),India,2026,In force,National,https://www.iea.org/policies/26542-detailed-procedure-for-compliance-mechanism-under-the-carbon-credit-trading-scheme-ccts,Power;Industry,Carbon pricing instruments,,,https://beeindia.gov.in/sites/default/files/Detailed%20Procedure%20for%20Compliance%20Procedure%20under%20CCTS.pdf,the Indian government adopted detailed regulations for the planned compliance carbon market under the Carbon Credit Trading Scheme (CCTS). The compliance period shall start by 2026.,IEA
Emissions Reduction Plan 2026-2030,New Zealand,2026,In force,National,https://www.iea.org/policies/26127-emissions-reduction-plan-2026-2030,Economy-wide,Master Energy Plan,,,https://environment.govt.nz/publications/new-zealands-second-emissions-reduction-plan/,The Emissions Reduction Plan 2026-2030 aims at:,IEA
Finance Law 2025 - Carbon tax,Morocco,2026,Announced,National,https://www.iea.org/policies/25929-finance-law-2025-carbon-tax,Power;Buildings;Industry;Transport,Carbon pricing instruments,,,https://leseco.ma/business/taxe-carbone-le-maroc-veut-verdir-son-economie-sans-sacrifier-sa-competitivite.html,"The 2025 finance law provides for the introduction of a carbon tax in Morocco, set to be implemented in 2026.",IEA
Malaysia Carbon Tax,Malaysia,2026,Announced,National,https://www.iea.org/policies/25681-malaysia-carbon-tax,Industry,Carbon pricing instruments,,,https://www.bharian.com.my/rencana/lain-lain/2024/03/1225263/pertimbang-laksana-cukai-karbon-demi-kelestarian-alam-ekonomi,"Malaysia’s Minister of Finance has announced that Malaysia will start imposing a carbon tax on the iron, steel and energy sectors starting in 2026.",IEA
National Building Renovation Plan,Czech Republic,2026,Announced,National,https://www.iea.org/policies/21078-national-building-renovation-plan,Economy-wide,Master Energy Plan,,,,,IEA
Order No. 10756/2024,Portugal,2026,Announced,National,https://www.iea.org/policies/27203-order-no-107562024,Power,Government spending in electricity networks,,,https://diariodarepublica.pt/dr/detalhe/despacho/10756-2024-887550452,Determines the preparation of a proposal for the Investment and Development Plan for the Electricity Distribution Network for the 2026-2030 period,IEA
Public Transit Funding,Canada,2026,In force,National,https://www.iea.org/policies/19678-public-transit-funding,Transport,Government spending in active mobility;Government spending for low-emissions and efficient transport,,,https://www.infrastructure.gc.ca/transit-transport/index-eng.html,"The Government of Canada announced in 2021 it will be allocating CAD 14.9 billion from 2026/2027 and over the next eight years to decarbonize public transit.This funding encompasses various initiatives, including the Rural Transit Solutions Fund, Zero Emission Transit Fund, Active Transportation Fund, and other related programs.The government allocated a 5-year grant in March to electrify public buses across the country.",IEA
Railway Expenditure,Sweden,2026,In force,National,https://www.iea.org/policies/26487-railway-expenditure,Transport,Government spending in rail infrastructure,,,https://www.riksdagen.se/en/news/articles/2024/dec/12/major-investment-in-swedens-roads-and-railways-_cms43919dea-d2b1-483f-a519-9f1fd4f3c341en/,"The Swedish Government has proposed a transport budget of SEK 1,171 billion for the period 2026–2037, which will be used to finance both railway projects and other parts of the transport system.",IEA
Regulations Governing the Collection of Carbon Fees,Chinese Taipei,2026,In force,National,https://www.iea.org/policies/26005-regulations-governing-the-collection-of-carbon-fees,Industry,Carbon pricing instruments,,,https://www.moenv.gov.tw/en/375192F88A851A76/553ddb95-ea29-46ae-a362-2124acdb845a,"Carbon tax applies to power and gas supply industries of annual emissions of 25,000metric tonnes of CO2e or more. May submit self-determined reduction plans for preferential rates. Introduction of industry-specific and technology-specific GHG emissions reduction.",IEA
Second NDC of Ecuador,Ecuador,2026,In force,National,https://www.iea.org/policies/25740-second-ndc-of-ecuador,Economy-wide,Nationally Determined Contributions,,,https://unfccc.int/sites/default/files/2025-02/Segunda%20NDC%20de%20Ecuador.pdf,"Ecuador aims to reduce its GHG emissions by 7% by 2035 relative to a business-as-usual trajectory, and up to 15% conditional on the provision of international support.",IEA
Sustainable Aviation Fuel Revenue Certainty Mechanism,United Kingdom,2026,Announced,National,https://www.iea.org/policies/27290-sustainable-aviation-fuel-revenue-certainty-mechanism,,,,,https://www.gov.uk/government/consultations/saf-revenue-certainty-mechanism-approach-to-industry-funding/outcome/saf-revenue-certainty-mechanism-approach-to-industry-funding-government-response,"The UK Government has introduced legislation to support sustainable aviation fuel production in the UK through an industry-funded revenue certainty mechanism, to encourage investment in the construction of sustainable aviation fuel plants across the UK. The Bill was introduced on 14 May 2025, with an expectation for legislation to be in place by the end of 2026.",IEA
Batteries energy storage systems auctions,Brazil,2025,Announced,National,https://www.iea.org/policies/26530-batteries-energy-storage-systems-auctions,Power,Government spending in storage,,,https://www.cnnbrasil.com.br/economia/macroeconomia/brasil-fara-leilao-para-armazenagem-de-energia-em-baterias-em-2025-diz-ministro/,Brazil is expected to hold an auction in 2025 exclusively to contract batteries and energy storage systems for the electricity sector.,IEA
Draft Ministerial Regulation on Excise Tax Rates - carbon pricing on petroleum products,Thailand,2025,In force,National,https://www.iea.org/policies/25997-draft-ministerial-regulation-on-excise-tax-rates-carbon-pricing-on-petroleum-products,Transport,Carbon pricing instruments,,,https://www.thaigov.go.th/news/contents/details/92842,"The government of Thailand introduced a carbon tax of THB 200/t on petroleum products on January 21, 2025.",IEA
