Policy,Year,Country,Policy_Content,URL,Scope,Explanation,Agency,Source
Executive Order Launches Climate Reregulation ,2021,USA,<p>President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis.</p>,https://climate.law.columbia.edu/content/executive-order-launches-climate-reregulation,National,Executive Order,White House,Climate-Reregulation-Tracker
U.S. Rejoins the Paris Agreement,2021,USA,<p>President Biden recommitted the United States to the Paris Climate Agreement.</p>,https://climate.law.columbia.edu/content/us-rejoins-paris-agreement,National,International Commitment,White House,Climate-Reregulation-Tracker
Interior Pauses Fossil Fuel Leasing on Federal Land,2021,USA,<p>The Interior Department imposed a 60-day moratorium on fossil fuel leasing and permitting for federal land and water.</p>,https://climate.law.columbia.edu/content/interior-pauses-fossil-fuel-leasing-federal-land,National,Secretarial Order,Interior,Climate-Reregulation-Tracker
President Biden Revokes Pro-Fossil Fuels Executive Order,2021,USA,<p>President Biden revoked an executive order that had promoted the production and use of domestic fossil fuels.</p>,https://climate.law.columbia.edu/content/president-biden-revokes-pro-fossil-fuels-executive-order,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Reverses Pro-Fossil Fuel Action on National Monuments,2021,USA,<p>President Biden revoked an executive order that had encouraged stripping protections from national monuments in order to allow for fossil fuel exploitation.</p>,https://climate.law.columbia.edu/content/president-biden-reverses-pro-fossil-fuel-action-national-monuments,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Order That Promoted Offshore Drilling,2021,USA,"<p>President Biden revoked an executive order that had promoted offshore drilling, including in areas that President Obama had moved to permanently protect.</p>",https://climate.law.columbia.edu/content/president-biden-revokes-executive-order-promoted-offshore-drilling,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Order on Fast-Tracking Pipelines,2021,USA,<p>President Biden revoked an executive order that had sought to fast-track oil and gas pipelines.</p>,https://climate.law.columbia.edu/content/president-biden-revokes-executive-order-fast-tracking-pipelines,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Order on Skipping Environmental Reviews During Pandemic,2021,USA,<p>President Biden revoked an executive order that had instructed agencies to circumvent required environmental review during the pandemic.</p>,https://climate.law.columbia.edu/content/president-biden-revokes-executive-order-skipping-environmental-reviews-during-pandemic,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Orders That Fast-Tracked Environmental Reviews,2021,USA,<p>President Biden revoked executive orders that had fast-tracked environmental reviews.</p>,https://climate.law.columbia.edu/content/president-biden-revokes-executive-orders-fast-tracked-environmental-reviews,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Revokes Executive Order Weakening Government's Greenhouse Gas Commitments,2021,USA,<p>President Biden revoked an executive order that had weakened the requirements to reduce greenhouse gas emissions from federal government operations.</p>,https://climate.law.columbia.edu/content/president-biden-revokes-executive-order-weakening-governments-greenhouse-gas-commitments,National,Executive Order,White House,Climate-Reregulation-Tracker
Executive Order Launches Government-Wide Climate Action,2021,USA,"<p>President Biden signed an executive order that elevates climate change across the federal government, creates a number of new governmental bodies to address climate change, declares immediate actions to confront climate change, and directs agency heads to take steps to increase renewable energy, decrease fossil fuel production, and prioritize environmental justice.</p>",https://climate.law.columbia.edu/content/executive-order-launches-government-wide-climate-action,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Reaffirms Scientific Integrity,2021,USA,<p>President Biden signed a Memorandum on Restoring Trust in Government Through Scientific Integrity and Evidence-Based Policymaking</p>,https://climate.law.columbia.edu/content/president-biden-reaffirms-scientific-integrity,National,Presidential Memorandum,White House,Climate-Reregulation-Tracker
President Biden Reestablishes Science Council,2021,USA,<p>President Biden reestablished the President's Council of Advisors on Science and Technology.</p>,https://climate.law.columbia.edu/content/president-biden-reestablishes-science-council,National,Executive Order,White House,Climate-Reregulation-Tracker
